package,keyword
InflectSSP,abundance data
MCMC.qpcr,abundance data
metamicrobiomeR,abundance data
mvabund,abundance data
SpadeR,abundance data
spotr,abundance data
STEPCAM,abundance data
GUILDS,abundance distributions
mobsim,abundance distributions
rareNMtests,abundance distributions
gambin,abundance distributions
paleoAM,abundance distributions
RADanalysis,abundance distributions
sads,abundance distributions
TAD,abundance distributions
aLFQ,abundance estimation
caribou,abundance estimation
marked,abundance estimation
mrds,abundance estimation
SPECK,abundance estimation
STREAK,abundance estimation
recapr,abundance estimator
SlotLim,abundance indices
gbm.auto,abundance maps
dynamicSDM,abundance models
paleoAM,abundance models
spAbundance,abundance models
ubms,abundance models
gbm.auto,abundance prediction
SGP,academic growth
learningtower,academic performance
studentlife,academic performance
ALSCPC,accelerated line search
AccelStab,accelerated stability
acc,accelerometer data
accelerometry,accelerometer data
accelmissing,accelerometer data
activAnalyzer,accelerometer data
biosensors.usc,accelerometer data
GENEAcore,accelerometer data
GENEAread,accelerometer data
GGIR,accelerometer data
HMMpa,accelerometer data
impactr,accelerometer data
MIMSunit,accelerometer data
mMARCH.AC,accelerometer data
PASenseWear,accelerometer data
pawacc,accelerometer data
PhysicalActivity,accelerometer data
postGGIR,accelerometer data
adaptMCMC,acceptance rate
rmcmc,acceptance rate
tmvmixnorm,acceptance rate
AcceptanceSampling,acceptance sampling
AccSamplingDesign,acceptance sampling
BGFD,acceptance sampling
IAcsSPCR,acceptance sampling
Planesmuestra,acceptance sampling
spbal,acceptance sampling
microCRAN,access control
rAccess,access control
RAppArmor,access control
aws.iam,access management
paws.security.identity,access management
sixtyfour,access management
epidict,access to care
dail,access to information
insight,access to information
fca,accessibility index
accessibility,accessibility measures
SpatialAcc,accessibility measures
FARS,accounting for uncertainty
RoBTT,accounting for uncertainty
accrual,accrual rate
preseqR,accumulation curves
BiodiversityR,accumulation curves
HACSim,accumulation curves
KnowBR,accumulation curves
mobsim,accumulation curves
DMCfun,accumulation models
ream,accumulation models
align,accumulation rate
EMC2,accumulator model
c2c,accuracy assessment
dentomedical,accuracy assessment
geodl,accuracy assessment
spm2,accuracy assessment
TSPred,accuracy assessment
OptimalCutpoints,accuracy measures
PVBcorrect,accuracy measures
risksetROC,accuracy measures
spind,accuracy measures
ThresholdROC,accuracy measures
TSrepr,accuracy measures
uotm,accuracy of prediction
WaveletLSTM,accuracy of prediction
ACEsimFit,ace model
cNORM,achievement tests
soilchemistry,acid soils
baRulho,acoustic analysis
soundgen,acoustic analysis
realTimeloads,acoustic backscatter
echogram,acoustic data
PAMpal,acoustic data
praatpicture,acoustic data
readtextgrid,acoustic data
musicNMR,acoustic detection
bioacoustics,acoustic features
tetrascatt,acoustic properties
warbleR,acoustic signals
ohun,acoustic signals
warbleR,acoustic structure
actel,acoustic tags
mort,acoustic telemetry
movegroup,acoustic telemetry
monitoR,acoustic template
prioriactions,action planning
motoRneuron,action potential
ActiveLearning4SPM,active learning
deepgp,active learning
MuFiMeshGP,active learning
plgp,active learning
RNAmf,active learning
lue,active radiation
BeSS,active set
bestridge,active set
grpCox,active set
isotone,active set
lassopv,active set
miselect,active set
OrdFacReg,active set
quadrupen,active set
SAM,active set
sleepr,activity classification
singleCellHaystack,activity levels
damr,activity monitor
phase,activity monitor
sleepr,activity monitor
pems.utils,activity monitor
camtrapR,activity patterns
overlap,activity patterns
simmer.bricks,activity patterns
phase,activity peaks
activity,activity time
agriwater,actual evapotranspiration
Evapotranspiration,actual evapotranspiration
MortalityTables,actuarial calculations
DetLifeInsurance,actuarial mathematics
lifecontingencies,actuarial mathematics
actuar,actuarial science
DataSetsUni,actuarial science
DDPM,actuarial science
Delaporte,actuarial science
fuel,actuarial science
accept,acute exacerbation
akiFlagger,acute kidney injury
epocakir,acute kidney injury
chem.databases,acute toxicity
adnuts,ad model builder
R2admb,ad model builder
SSIMmap,adaptive bandwidth
sboost,adaptive boosting
ppsbm,adaptive choice
adaptDiag,adaptive design
adaptIVPT,adaptive design
ADCT,adaptive design
MinEDfind,adaptive design
whatifbandit,adaptive design
crm12Comb,adaptive design
esDesign,adaptive design
MedianaDesigner,adaptive design
adapt3,adaptive dynamics
extremefit,adaptive estimation
kernstadapt,adaptive estimation
weightedRank,adaptive inference
provenance,adaptive kernel
adapt4pv,adaptive lasso
ALassoSurvIC,adaptive lasso
alqrfe,adaptive lasso
biospear,adaptive lasso
cqrReg,adaptive lasso
gamlss.lasso,adaptive lasso
gcdnet,adaptive lasso
grasps,adaptive lasso
hal9001,adaptive lasso
haldensify,adaptive lasso
hdbma,adaptive lasso
HDJM,adaptive lasso
LINselect,adaptive lasso
miselect,adaptive lasso
msgps,adaptive lasso
MTE,adaptive lasso
PAGWAS,adaptive lasso
penfa,adaptive lasso
PJFM,adaptive lasso
polywog,adaptive lasso
ppmlasso,adaptive lasso
QTL.gCIMapping,adaptive lasso
QTL.gCIMapping.GUI,adaptive lasso
sealasso,adaptive lasso
sparseGFM,adaptive lasso
SPSP,adaptive lasso
transmdl,adaptive lasso
sgdGMF,adaptive learning
AMModels,adaptive management
spate,adaptive mcmc
xega,adaptive mechanisms
kader,adaptive methods
SimplicialCubature,adaptive methods
torchopt,adaptive methods
AdMit,adaptive mixture
eselect,adaptive modification
surface,adaptive peak
flare,adaptive penalty
aghq,adaptive quadrature
BayesGP,adaptive quadrature
lamle,adaptive quadrature
BAR,adaptive randomization
BayesianPlatformDesignTimeTrend,adaptive randomization
carat,adaptive randomization
CARM,adaptive randomization
covadap,adaptive randomization
dfmta,adaptive randomization
grouprar,adaptive randomization
MedianaDesigner,adaptive randomization
RARfreq,adaptive randomization
RARtrials,adaptive randomization
RATest,adaptive randomization
RobinCar,adaptive randomization
RobinCar2,adaptive randomization
PhysioIndexR,adaptive responses
AdaSampling,adaptive sampling
imabc,adaptive sampling
tgp,adaptive sampling
asd,adaptive seamless designs
grpSLOPE,adaptive selection
triggerstrategy,adaptive selection
adaptsmoFMRI,adaptive smoothing
adass,adaptive smoothing
aws,adaptive smoothing
cbass,adaptive smoothing
dti,adaptive smoothing
algaeClassify,adaptive strategies
gamesGA,adaptive strategies
TrialSimulator,adaptive strategies
SensitivityCaseControl,adaptive testing
catR,adaptive testing
catSurv,adaptive testing
cdcatR,adaptive testing
irt,adaptive testing
maat,adaptive testing
MAT,adaptive testing
RSCAT,adaptive testing
simCAT,adaptive testing
xxIRT,adaptive testing
mirtCAT,adaptive testing
rid,adaptive threshold
UnplanSimon,adaptive threshold
BayesAT,adaptive trial
brada,adaptive trial
goldilocks,adaptive trial
BATSS,adaptive trial
MedianaDesigner,adaptive trial
aws,adaptive weights
subscore,added value
iNZightTS,additive and multiplicative models
gnonadd,additive effects
pblm,additive effects
RAINBOWR,additive effects
addhaz,additive hazards
dpasurv,additive hazards
frailtypack,additive hazards
addhazard,additive hazards
ahaz,additive hazards
ahMLE,additive hazards
cequre,additive hazards
ivsacim,additive hazards
LongDecompHE,additive hazards
R2Addhaz,additive hazards
survextrap,additive hazards
tsriadditive,additive hazards
uniah,additive hazards
interactionR,additive interaction
bamlss,additive models
cgam,additive models
CompareCausalNetworks,additive models
crisp,additive models
crosslag,additive models
DLL,additive models
dsm,additive models
ebm,additive models
evgam,additive models
flam,additive models
gamRR,additive models
gamselBayes,additive models
grafify,additive models
kko,additive models
metamicrobiomeR,additive models
neuralGAM,additive models
nlnet,additive models
PenIC,additive models
pgraph,additive models
plsmselect,additive models
ppgam,additive models
prophet,additive models
psme,additive models
qrnn,additive models
relgam,additive models
sdPrior,additive models
simulMGF,additive models
VGAM,additive models
additive,additive models
AGHmatrix,additive models
AlleleShift,additive models
APCtools,additive models
autogam,additive models
blapsr,additive models
bsamGP,additive models
buildmer,additive models
CausalGAM,additive models
countSTAR,additive models
cutpointr,additive models
cvmaPLFAM,additive models
DHARMa,additive models
DiceEval,additive models
easyViz,additive models
enmSdmX,additive models
FlexGAM,additive models
flexmsm,additive models
gam,additive models
gam.hp,additive models
gamair,additive models
gamboostLSS,additive models
gamCopula,additive models
GAMens,additive models
gamlss,additive models
gamlss.data,additive models
gamlss.dist,additive models
gamlss.foreach,additive models
gamlss.inf,additive models
gamlss.lasso,additive models
gamlss.mx,additive models
gamlssx,additive models
gammi,additive models
gammSlice,additive models
GeDS,additive models
glam,additive models
gratia,additive models
grpnet,additive models
GSelection,additive models
h2o,additive models
hyper.gam,additive models
ImputeRobust,additive models
kidsides,additive models
lgspline,additive models
LinRegInteractive,additive models
MapGAM,additive models
metagam,additive models
mgcViz,additive models
mlma,additive models
modelSelection,additive models
mtsdi,additive models
mvgam,additive models
normref,additive models
npreg,additive models
pgam,additive models
pmcalibration,additive models
RBF,additive models
RelDists,additive models
reslr,additive models
rmargint,additive models
rTG,additive models
scam,additive models
SDModels,additive models
SelectBoost.gamlss,additive models
slp,additive models
spatemR,additive models
splineplot,additive models
sspm,additive models
stgam,additive models
tidygam,additive models
trendtestR,additive models
ugomquantreg,additive models
vagam,additive models
vasicekreg,additive models
VGAMdata,additive models
wqtrends,additive models
zetadiv,additive models
baytrends,additive models
gamclass,additive models
RobKF,additive outliers
robustGarch,additive outliers
tsoutliers,additive outliers
nilde,additive partitioning
timereg,additive risk
kindisperse,additive variance
ade4TkGUI,ade4 package
adegraphics,ade4 package
CADFtest,adf test
bodycompref,adipose tissue
eGST,adipose tissue
adklakedata,adirondack park
concom,adjacency matrix
ebdbNet,adjacency matrix
ES,adjacency matrix
FinNet,adjacency matrix
ggmuller,adjacency matrix
gsbm,adjacency matrix
incidentally,adjacency matrix
MCL,adjacency matrix
missSBM,adjacency matrix
mlsbm,adjacency matrix
PartialNetwork,adjacency matrix
scTenifoldKnk,adjacency matrix
SeaGraphs,adjacency matrix
shortr,adjacency matrix
SparseLPM,adjacency matrix
String2AdjMatrix,adjacency matrix
augmentedRCBD,adjusted means
DirectStandardisation,adjusted means
discovr,adjusted means
brglm,adjusted score
brglm2,adjusted score
bcmaps,administrative boundaries
CAOP.RAA.2024,administrative boundaries
ffm,administrative boundaries
geodata,administrative boundaries
mapSpain,administrative boundaries
necountries,administrative boundaries
nuts,administrative boundaries
ecochange,administrative data
multimorbidity,administrative data
npi,administrative data
pickmax,administrative data
tidycensuskr,administrative data
CMHSU,administrative databases
amapGeocode,administrative regions
bangladesh,administrative regions
comorosmaps,administrative regions
ozmaps,administrative regions
RCzechia,administrative regions
subincomeR,administrative regions
adsoRptionCMF,adsorption isotherm
adsoRptionCV,adsorption isotherm
adsoRptionMCMC,adsorption isotherm
SHAKTI,adsorption isotherm
AdIsMF,adsorption isotherm
SorptionAnalysis,adsorption models
PenguinR,adult morphology
DHS.rates,adult mortality
GPRMortality,adult mortality
SVDMx,adult mortality
MetabolicSyndrome,adult treatment
QTLRel,advanced intercross lines
HyRiM,advanced persistent threats
ePCR,advanced stage
MHTrajectoryR,adverse drug reactions
CPCAT,adverse effect
qountstat,adverse effect
adepro,adverse events
AdverseEvents,adverse events
AEenrich,adverse events
dtlg,adverse events
eudract,adverse events
extractFAERS,adverse events
faersquarterlydata,adverse events
forestly,adverse events
kidsides,adverse events
MDDC,adverse events
MHTrajectoryR,adverse events
qreport,adverse events
savvyr,adverse events
SCCS,adverse events
vaersvax,adverse events
volcanoPlot,adverse events
bdribs,adverse events
BiostatsUHNplus,adverse events
c212,adverse events
clinDataReview,adverse events
coder,adverse events
jab.adverse.reactions,adverse events
meddra.read,adverse events
MedxR,adverse events
metalite.ae,adverse events
openEBGM,adverse events
ordcrm,adverse events
patientProfilesVis,adverse events
ProAE,adverse events
simaerep,adverse events
Tendril,adverse events
vaersNDvax,adverse events
visae,adverse events
MUACz,adverse health events
InfiniumPurify,adverse impact
rMOST,adverse impact
capesR,advisor identification
MVSKmod,aecm algorithm
dynamAedes,aedes mosquitoes
earthtones,aerial photography
palm,aerial surveys
uavRmp,aerial vehicle
multiplex,affiliation networks
mcmcensemble,affine invariant
mnt,affine invariant
QAEnsemble,affine invariant
rgw,affine invariant
riemtan,affine invariant
apcluster,affinity propagation
ClusterR,affinity propagation
SuperpixelImageSegmentation,affinity propagation
edgedata,affordable care act
MVSKmod,african americans
AFFECT,aft model
aftgee,aft model
afthd,aft model
aftsem,aft model
dnn,aft model
fastAFT,aft model
GLDreg,aft model
penAFT,aft model
riAFTBART,aft model
SIMEXBoost,aft model
ungroup,age at death
FamEvent,age at onset
salmonMSE,age classes
StemAnalysis,age classes
AgeBandDecomposition,age classes
ARDECO,age classes
ungroup,age classes
ecostate,age composition
AgeTopicModels,age dependent
FamEvent,age dependent
LTFHPlus,age dependent
normref,age dependent
TE,age distributions
ageg,age distributions
ageutils,age distributions
IsoplotR,age distributions
BayLum,age estimates
AST,age groups
LexisPlotR,age groups
plnr,age groups
PopulateR,age groups
Q2q,age groups
vacalibration,age groups
numOSL,age model
EpidigiR,age standardization
mortAAR,age structure
AgePopDenom,age structured population
albopictus,age structured population
MCMCtreeR,age uncertainty
cystiSim,agent based models
SongEvo,agent based models
epiworldRShiny,agent based models
evoper,agent based models
ABM,agent based models
animate,agent based models
cursr,agent based models
datafsm,agent based models
epiworldR,agent based models
NetLogoR,agent based models
Pomic,agent based models
SpaDES,agent based models
SpaDES.tools,agent based models
stppSim,agent based models
villager,agent based models
adjclust,agglomerative clustering
apcluster,agglomerative clustering
brsim,agglomerative clustering
fastcluster,agglomerative clustering
funMoDisco,agglomerative clustering
InfoTrad,agglomerative clustering
apc,aggregate data
brandwatchR,aggregate data
crossnma,aggregate data
ecolRxC,aggregate data
ecoreg,aggregate data
eiCircles,aggregate data
eiopt2,aggregate data
galigor,aggregate data
lphom,aggregate data
multinma,aggregate data
qdap,aggregate data
rappsflyer,aggregate data
reshape,aggregate data
reshape2,aggregate data
SchoolDataIT,aggregate data
sidrar,aggregate data
survextrap,aggregate data
CaMeA,aggregate data
covid19.analytics,aggregate data
diffee,aggregate data
healthfinance,aggregate data
jeek,aggregate data
RISCA,aggregate data
ROCket,aggregate data
rym,aggregate data
simule,aggregate data
tailloss,aggregate loss
IIProductionUnknown,aggregated distribution
agop,aggregation operators
socialh,agonistic interactions
SimplyAgree,agreement analysis
agriTutorial,agricultural crop
crwbmetareg,agricultural economics
agriTutorial,agricultural field
desplot,agricultural field
OBIC,agricultural field
SoilFunctionality,agricultural land
noaa,agricultural meteorology
IIProductionUnknown,agricultural pest
resevol,agricultural pest
OBIC,agricultural practices
acdcR,agricultural production
cropdatape,agricultural production
rapsimng,agricultural production
AGPRIS,agricultural productivity
agricolae,agricultural research
CANE,agricultural research
cogmapr,agricultural research
evapoRe,agricultural research
geospatialsuite,agricultural research
nlraa,agricultural research
PSRICalc,agricultural research
visvaR,agricultural research
AgroReg,agricultural sciences
AgroR,agricultural sciences
PhysioIndexR,agricultural sciences
resumiR,agricultural sciences
SoilManageR,agricultural soil
arealDB,agricultural statistics
cdlTools,agricultural statistics
FedData,agricultural statistics
tidyUSDA,agricultural statistics
PWEV,agricultural supply
rapsimng,agricultural systems
spreval,agricultural systems
AquaBEHER,agricultural water
javateak,agroforestry management
sensibo.sky,air conditioning
masscor,air density
openairmaps,air mass
airqualityES,air measurements
weathermetrics,air moisture
RAQSAPI,air monitoring
eixport,air pollutant
HGMND,air pollutant
AirExposure,air pollution
APTIcalc,air pollution
collin,air pollution
con2lki,air pollution
eesim,air pollution
GPCERF,air pollution
healthiar,air pollution
intervalaverage,air pollution
kehra,air pollution
mmaqshiny,air pollution
OCSdata,air pollution
openair,air pollution
TreeDep,air pollution
aiRly,air quality
AirMonitor,air quality
airnow,air quality
AQEval,air quality
aqfig,air quality
AtmChile,air quality
ChinAPIs,air quality
con2aqi,air quality
con2lki,air quality
eixport,air quality
EmissV,air quality
eva3dm,air quality
foqat,air quality
JapanAPIs,air quality
M3,air quality
MexicoDataAPI,air quality
mmaqshiny,air quality
openair,air quality
openairmaps,air quality
pargasite,air quality
PurpleAirAPI,air quality
raqs,air quality
RAQSAPI,air quality
rmweather,air quality
rsinaica,air quality
saqgetr,air quality
simulariatools,air quality
ubair,air quality
AgroTech,air temperature
ClimInd,air temperature
cropZoning,air temperature
splash,air temperature
ssebiEF,air temperature
tealeaves,air temperature
wdiEF,air temperature
weathermetrics,air temperature
heatindex,air temperature
footprint,air transport
anyflights,air travel
footprint,air travel
ForestGapR,airborne laser
LadderFuelsR,airborne laser
leafR,airborne laser
lidaRtRee,airborne laser
sgsR,airborne laser
lidR,airborne lidar
RCSF,airborne lidar
AeRobiology,airborne particles
flightsbr,airport operations
ESTER,akaike weights
alcoholSurv,alcohol consumption
OenoKPM,alcoholic fermentation
SuessR,aleutian islands
waterquality,algal blooms
BiObjClass,algorithm performance
PAutilities,algorithm performance
ppRank,algorithm performance
strider,algorithm performance
aslib,algorithm selection
BiObjClass,algorithm selection
llama,algorithm selection
ppRank,algorithm selection
acss,algorithmic complexity
acss.data,algorithmic complexity
visualpred,algorithmic modeling
alien,alien species
invacost,alien species
ART,aligned rank transform
ARTool,aligned rank transform
statisfactory,aligned rank transform
edlibR,alignment methods
biologicalActivityIndices,alkaline phosphatase
franc,all languages
DBModelSelect,all subsets
leidenAlg,all subsets
mlr3resampling,all subsets
npmv,all subsets
sumSome,all subsets
avar,allan variance
poolfstat,allele count
Qploidy,allele count
AlleleShift,allele frequency
Canopy,allele frequency
castgen,allele frequency
compareGroups,allele frequency
dartR.sim,allele frequency
genepop,allele frequency
genetics,allele frequency
getmstatistic,allele frequency
HardyWeinberg,allele frequency
Jacquard,allele frequency
MLMOI,allele frequency
numberofalleles,allele frequency
plinkQC,allele frequency
polysat,allele frequency
poolHelper,allele frequency
Qploidy,allele frequency
simtrait,allele frequency
bnpsd,allele frequency
CJAMP,allele frequency
dartR,allele frequency
dartR.base,allele frequency
ebGenotyping,allele frequency
forensicpopdata,allele frequency
freqpcr,allele frequency
GWsignif,allele frequency
manhplot,allele frequency
mixIndependR,allele frequency
norSTR,allele frequency
PlasmaMutationDetector,allele frequency
powerpkg,allele frequency
rapidphylo,allele frequency
snplinkage,allele frequency
SSHAARP,allele frequency
TriadSim,allele frequency
TrumpetPlots,allele frequency
wtest,allele frequency
PolyPatEx,allele matching
SNPassoc,allele score
ACNE,allele specific
calmate,allele specific
Canopy,allele specific
CLONETv2,allele specific
falcon,allele specific
falconx,allele specific
numbat,allele specific
PSCBS,allele specific
rxSeq,allele specific
saasCNV,allele specific
SMASH,allele specific
polysat,allelic diversity
corehunter,allelic richness
AllelicSeries,allelic series
HardyWeinberg,allelic variants
mappoly,allelic variants
net4pg,allelic variants
RLoptimal,allocation rule
TUvalues,allocation rule
HierPortfolios,allocation strategies
ImVol,allometric equations
javateak,allometric equations
OpenBARD,allometric equations
rorqual.morpho,allometric equations
allomr,allometric growth
Pstat,allometric growth
npregfast,allometric model
StemAnalysis,allometric model
pscore,allostatic load
abdiv,alpha diversity
divraster,alpha diversity
microeco,alpha diversity
pctax,alpha diversity
rbiom,alpha diversity
rangeBuilder,alpha hull
alphaN,alpha level
My.stepwise,alpha level
newFocus,alpha level
JustifyAlpha,alpha level
NovelDistns,alpha power
alphahull,alpha shape
alphashape3d,alpha shape
ashapesampler,alpha shape
GroupSeq,alpha spending
ldbounds,alpha spending
Sequential,alpha spending
rank,alphabetical order
sgsR,als data
accSDA,alternating direction method of multipliers
ADMM,alternating direction method of multipliers
cqrReg,alternating direction method of multipliers
ddpca,alternating direction method of multipliers
dineR,alternating direction method of multipliers
DWDLargeR,alternating direction method of multipliers
fdaSP,alternating direction method of multipliers
flare,alternating direction method of multipliers
HDMAADMM,alternating direction method of multipliers
L0TFinv,alternating direction method of multipliers
MADMMplasso,alternating direction method of multipliers
osqp,alternating direction method of multipliers
rare,alternating direction method of multipliers
SILFS,alternating direction method of multipliers
SpatMCA,alternating direction method of multipliers
SpatPCA,alternating direction method of multipliers
ARPobservation,alternating renewal process
adea,alternative method
geoFourierFDA,alternative method
idmact,alternative method
RelimpPCR,alternative method
wqspt,alternative method
mixedBayes,alternative method
roben,alternative method
spinBayes,alternative method
springer,alternative method
MAAPER,alternative polyadenylation
VALERIE,alternative splicing
NeuroDataSets,alzheimer's disease
aws.ec2metadata,amazon ec2
datazoom.amazonia,amazon region
healthiar,ambient air
pargasite,ambient air
SwissAir,ambient temperature
spell.replacer,american english
spelling,american english
CVrisk,american heart association
MetabolicSyndrome,american heart association
PooledCohort,american heart association
pretestcad,american heart association
preventr,american heart association
vaRiskScore,american heart association
amerika,american politics
mddmaps,american society of mammalogists
agvgd,amino acid
alakazam,amino acid
AntAngioCOOL,amino acid
Autoplotprotein,amino acid
bioseq,amino acid
canprot,amino acid
chem16S,amino acid
ClusTCR2,amino acid
ftrCOOL,amino acid
GenomicSig,amino acid
MHCtools,amino acid
MixviR,amino acid
PdPDB,amino acid
Peptides,amino acid
peptoolkit,amino acid
plotprotein,amino acid
prozor,amino acid
pureseqtmr,amino acid
quiddich,amino acid
revert,amino acid
RPatternJoin,amino acid
SeqAlignR,amino acid
SSHAARP,amino acid
SubVis,amino acid
VDAP,amino acid
VLF,amino acid
BIGDAWG,amino acid
EnvNJ,amino acid
grantham,amino acid
ptm,amino acid
ammistability,ammi analysis
CropBreeding,ammi analysis
metan,ammi analysis
ammistability,ammi model
bayesammi,ammi model
geneticae,ammi model
gnm,ammi model
ALFAM2,ammonia emission
AquaAnalytix,ammonia nitrogen
ALFAM2,ammonia volatilization
OTUtable,amplicon sequencing
ensembleTax,amplicon sequencing
ioncopy,amplicon sequencing
chipPCR,amplification efficiency
guescini,amplification efficiency
rtpcr,amplification efficiency
HyMETT,analysis and evaluation
nrlR,analysis methodology
bmabart,analysis methods
ccda,analysis methods
conjoint,analysis methods
CPBayes,analysis methods
csalert,analysis methods
hce,analysis methods
imputeFin,analysis methods
MFAg,analysis methods
mlma,analysis methods
mma,analysis methods
msda,analysis methods
nFunNN,analysis methods
OPTeCD,analysis methods
parafac4microbiome,analysis methods
puniform,analysis methods
random.polychor.pa,analysis methods
SimSeq,analysis methods
TSeriesMMA,analysis methods
vhica,analysis methods
xwf,analysis methods
altmeta,analysis methods
artma,analysis methods
BASS,analysis methods
BayesianPlatformDesignTimeTrend,analysis methods
booklet,analysis methods
braidrm,analysis methods
COMBO,analysis methods
COMMA,analysis methods
concorR,analysis methods
copulaSim,analysis methods
corpmetrics,analysis methods
CoxMK,analysis methods
DAKS,analysis methods
Directional,analysis methods
dQTG.seq,analysis methods
episensr,analysis methods
FactoMineR,analysis methods
gestate,analysis methods
GiANT,analysis methods
HDTSA,analysis methods
HLAtools,analysis methods
hurdlr,analysis methods
IOHanalyzer,analysis methods
iSFun,analysis methods
jamba,analysis methods
LLMing,analysis methods
MetaSubtract,analysis methods
metR,analysis methods
mistral,analysis methods
msltrend,analysis methods
msos,analysis methods
MTSYS,analysis methods
mxfda,analysis methods
NCC,analysis methods
nlmixr2autoinit,analysis methods
nsRFA,analysis methods
openairmaps,analysis methods
pctax,analysis methods
petersenlab,analysis methods
ProteoBayes,analysis methods
pumBayes,analysis methods
QuICSeedR,analysis methods
rbounds,analysis methods
REAT,analysis methods
remaCor,analysis methods
RMCDA,analysis methods
robustmeta,analysis methods
rqlm,analysis methods
scRNAtools,analysis methods
sigora,analysis methods
SimNPH,analysis methods
smoke,analysis methods
sparsediscrim,analysis methods
StatDA,analysis methods
strvalidator,analysis methods
SUMO,analysis methods
symbolicDA,analysis methods
tesselle,analysis methods
topologyR,analysis methods
TransProR,analysis methods
twoxtwo,analysis methods
vcmeta,analysis methods
vfprogression,analysis methods
aMNLFA,analysis models
bamdit,analysis models
BClustLonG,analysis models
beanz,analysis models
BSTFA,analysis models
cforward,analysis models
faoutlier,analysis models
farrell,analysis models
jarbes,analysis models
lamle,analysis models
mcmodule,analysis models
metaBMA,analysis models
metamicrobiomeR,analysis models
mirt,analysis models
MixLFA,analysis models
multicmp,analysis models
penfa,analysis models
publipha,analysis models
sBIC,analysis models
survex,analysis models
twig,analysis models
cprobit,analysis of change
CovTools,analysis of covariance
discovr,analysis of covariance
fANCOVA,analysis of covariance
fdWasserstein,analysis of covariance
npANCOVA,analysis of covariance
PLRModels,analysis of covariance
rtpcr,analysis of covariance
adas.utils,analysis of data
aelab,analysis of data
agriTutorial,analysis of data
APCanalysis,analysis of data
augmentedRCBD,analysis of data
bayesmove,analysis of data
bulkQC,analysis of data
clinDataReview,analysis of data
CrossCarry,analysis of data
dexter,analysis of data
Eagle,analysis of data
FRApp,analysis of data
glmtoolbox,analysis of data
healthmotionR,analysis of data
labdsv,analysis of data
lsmeans,analysis of data
mixOofA,analysis of data
mmiCATs,analysis of data
NBBDesigns,analysis of data
noncomplyR,analysis of data
osDesign,analysis of data
redbookperu,analysis of data
servosphereR,analysis of data
ssym,analysis of data
statgenHTP,analysis of data
tidypopgen,analysis of data
verdata,analysis of data
workloopR,analysis of data
adas.utils,analysis of experiments
AgroR,analysis of experiments
Blendstat,analysis of experiments
CANE,analysis of experiments
daewr,analysis of experiments
ExpAnalysis3d,analysis of experiments
LHD,analysis of experiments
MultipleRegression,analysis of experiments
scidesignR,analysis of experiments
ANOM,analysis of means
AlleleShift,analysis of molecular variance
